sid,block_type,unitx,trial_type,frequency_type,rt.med,rt.mean,n,correctn,acc
sub122,testing,T02,regular,high,364.252200000919,367.802346194817,37,37,1
sub122,testing,T03,random,high,377.885925001465,399.62028055662,16,16,1
sub122,testing,T03,random,low,376.031649997458,394.955700001447,6,6,1
sub122,testing,T03,regular,high,325.093249994097,314.296574999892,35,35,1
sub122,testing,T04,random,high,371.082199999364,387.238783339368,15,15,1
sub122,testing,T04,random,low,396.141700010048,396.209561114018,10,10,1
sub122,testing,T04,regular,high,340.986499999417,336.159015334496,35,35,1
sub122,testing,T05,random,high,415.167100007238,445.288487503907,15,15,1
sub122,testing,T05,random,low,401.63055001176,404.379543057278,12,12,1
sub122,testing,T05,regular,high,381.3641500019,389.613395889723,36,36,1
sub123,learning,L01,random,high,602.864350003074,635.106842857307,15,15,1
sub123,learning,L01,random,low,637.510950007709,637.754960005259,11,11,1
sub123,learning,L01,regular,high,543.734849998145,569.186396666191,38,38,1
sub123,learning,L02,random,high,561.716950003756,563.35159687842,13,13,1
sub123,learning,L02,random,low,524.084699995001,545.060190909929,13,13,1
sub123,learning,L02,regular,high,528.926200000569,534.096698958456,36,36,1
sub123,learning,L03,random,high,595.73349999846,642.578647058091,21,21,1
sub123,learning,L03,random,low,707.468449996668,714.049024998531,4,4,1
sub123,learning,L03,regular,high,544.521399995574,532.063818748839,39,39,1
sub123,learning,L04,random,high,526.277750002919,530.618196667638,18,18,1
sub123,learning,L04,random,low,555.642924995482,588.755918747665,9,9,1
sub123,learning,L04,regular,high,488.94449999716,497.619641070872,37,37,1
sub123,learning,L05,random,high,542.269699988538,549.875273332873,18,18,1
sub123,learning,L05,random,low,564.68809999933,590.813179995166,6,6,1
sub123,learning,L05,regular,high,467.170199997781,482.04991844604,38,38,1
sub123,learning,L06,random,high,568.100200005574,567.986194444934,20,20,1
sub123,learning,L06,random,low,503.839249999146,510.694143749485,12,12,1
sub123,learning,L06,regular,high,480.25300000154,498.74588614554,38,38,1
sub123,learning,L07,random,high,531.537699996989,576.176858335354,21,21,1
sub123,learning,L07,random,low,563.067899995076,559.433214288479,10,10,1
sub123,learning,L07,regular,high,489.154950006196,489.479348959397,36,36,1
sub123,learning,L08,random,high,547.186574996886,557.789536110957,21,21,1
sub123,learning,L08,random,low,556.013599998551,549.65175000042,11,11,1
sub123,learning,L08,regular,high,510.650800002622,506.369755556969,38,38,1
sub123,learning,L09,random,high,517.305299996224,533.145268054998,20,20,1
sub123,learning,L09,random,low,511.182999995071,547.947057144484,7,7,1
sub123,learning,L09,regular,high,487.556400010362,493.383137223443,39,39,1
sub123,learning,L10,random,high,545.331049994275,561.759339283266,15,15,1
sub123,learning,L10,random,low,529.113900003722,532.802572219225,10,10,1
sub123,learning,L10,regular,high,488.549624998996,516.921386978841,38,38,1
sub123,learning,L11,random,high,492.227200003981,524.56709166654,21,21,1
sub123,learning,L11,random,low,532.85219999816,520.444874998551,7,7,1
sub123,learning,L11,regular,high,496.450225000444,498.705301430649,38,38,1
sub123,learning,L12,random,high,567.244249996293,625.770197222462,21,21,1
sub123,learning,L12,random,low,545.554199998151,543.942075000814,5,5,1
sub123,learning,L12,regular,high,509.317699994426,533.271035769483,37,37,1
sub123,learning,L13,random,high,525.216699999874,536.854457141349,20,20,1
sub123,learning,L13,random,low,561.198700001114,570.361521427653,8,8,1
sub123,learning,L13,regular,high,498.101825000049,515.117352707845,38,38,1
sub123,learning,L14,random,high,542.282350008463,555.78766666622,15,15,1
sub123,learning,L14,random,low,561.674050004513,601.838864287337,11,11,1
sub123,learning,L14,regular,high,498.41677499353,498.488476901825,39,39,1
sub123,learning,L15,random,high,537.59789999458,533.111483333735,23,23,1
sub123,learning,L15,random,low,460.483500006376,486.85549286165,9,9,1
sub123,learning,L15,regular,high,481.651749993034,505.221713691364,38,38,1
sub123,learning,L16,random,high,538.470999999845,543.908724999255,19,19,1
sub123,learning,L16,random,low,578.577350002888,554.641893749249,10,10,1
sub123,learning,L16,regular,high,504.067399997439,510.456390625222,37,37,1
sub123,learning,L17,random,high,579.229100003431,584.040703124629,22,22,1
sub123,learning,L17,random,low,522.510099995998,516.024799997467,8,8,1
sub123,learning,L17,regular,high,477.051299996674,526.16000911208,37,37,1
sub123,learning,L18,random,high,545.858700003009,545.229073530423,20,20,1
sub123,learning,L18,random,low,549.853399999847,550.637137501326,8,8,1
sub123,learning,L18,regular,high,503.485200002615,528.157923333331,35,35,1
sub123,learning,L19,random,high,560.289899993222,539.972663633473,15,15,1
sub123,learning,L19,random,low,607.020500006911,628.251975001149,10,10,1
sub123,learning,L19,regular,high,525.610874996346,560.140472381144,38,38,1
sub123,learning,L20,random,high,595.089125003142,574.964837502193,19,19,1
sub123,learning,L20,random,low,534.083000005921,556.071431252349,10,10,1
sub123,learning,L20,regular,high,540.680424997845,570.054680729148,37,37,1
sub123,testing,T01,random,high,413.774399989052,444.982523332389,18,18,1
sub123,testing,T01,random,low,425.182474999019,418.472074998742,8,8,1
sub123,testing,T01,regular,high,423.836000001756,427.613955555312,36,36,1
sub123,testing,T02,random,high,414.585049999005,415.349940623855,20,20,1
sub123,testing,T02,random,low,389.064400005736,450.197935717629,8,8,1
sub123,testing,T02,regular,high,397.300900003756,403.803576110578,38,38,1
sub123,testing,T03,random,high,433.534700001474,446.376185417042,21,21,1
sub123,testing,T03,random,low,441.252500000701,457.606499997686,7,7,1
sub123,testing,T03,regular,high,419.781249998778,426.791418124852,35,35,1
sub123,testing,T04,random,high,435.576674997719,434.754904998408,13,13,1
sub123,testing,T04,random,low,417.030600001453,417.036259997985,5,5,1
sub123,testing,T04,regular,high,449.273949994677,457.856015623596,35,35,1
sub123,testing,T05,random,high,448.464800007059,460.182334615428,17,17,1
sub123,testing,T05,random,low,400.469300002442,447.063700002868,7,7,1
sub123,testing,T05,regular,high,416.111224996712,428.106839283871,35,35,1
sub124,learning,L01,random,high,555.873174995213,569.256141664785,16,16,1
sub124,learning,L01,random,low,681.131900004402,646.880022224246,8,8,1
sub124,learning,L01,regular,high,562.556599994423,594.53180602536,31,31,1
sub124,learning,L02,random,high,621.895150005003,641.517202778131,24,24,1
sub124,learning,L02,random,low,604.065450002963,598.52092499932,4,4,1
sub124,learning,L02,regular,high,559.034924994194,574.947156249209,35,35,1
sub124,learning,L03,random,high,577.832800001488,597.014533334147,22,22,1
sub124,learning,L03,random,low,590.123800000583,581.629485713035,9,9,1
sub124,learning,L03,regular,high,505.678150002495,511.640555937856,38,38,1
sub124,learning,L04,random,high,573.283550002088,584.649728570574,17,17,1
sub124,learning,L04,random,low,565.032849997806,585.861090001708,10,10,1
sub124,learning,L04,regular,high,512.794499998563,526.615417777389,37,37,1
sub124,learning,L05,random,high,563.776499999221,558.325041666346,15,15,1
sub124,learning,L05,random,low,582.431599999836,580.984244444052,13,13,1
sub124,learning,L05,regular,high,525.737949996255,531.17759364931,37,37,1
sub124,learning,L06,random,high,539.271899993764,546.805111536135,17,17,1
sub124,learning,L06,random,low,464.356099993893,472.970199994961,5,5,1
sub124,learning,L06,regular,high,512.652499994147,516.501223956463,39,39,1
sub124,learning,L07,random,high,500.323550004396,497.216442708426,20,20,1
sub124,learning,L07,random,low,499.24540000211,511.689750001096,4,4,1
sub124,learning,L07,regular,high,497.553499997594,495.420213334081,36,36,1
sub124,learning,L08,random,high,540.662100000191,566.29110097856,24,24,1
sub124,learning,L08,random,low,541.222599997127,539.064200002031,5,5,1
sub124,learning,L08,regular,high,503.732600001968,504.990093718982,38,38,1
sub124,learning,L09,random,high,569.162500003586,577.672996153594,17,17,1
sub124,learning,L09,random,low,547.937474999344,565.884781251043,11,11,1
sub124,learning,L09,regular,high,517.660800003796,518.852357220021,37,37,1
sub124,learning,L10,random,high,531.974375004211,549.820258333057,21,21,1
sub124,learning,L10,random,low,525.868149998132,534.778349994061,8,8,1
sub124,learning,L10,regular,high,506.15060000564,502.76912333405,38,38,1
sub124,learning,L11,random,high,544.332350000332,552.567862962288,28,28,1
sub124,learning,L11,random,low,522.029699990526,539.621999996598,3,3,1
sub124,learning,L11,regular,high,529.290750004293,548.052543175967,36,36,1
sub124,learning,L12,random,high,520.593499997631,516.960999999881,20,20,1
sub124,learning,L12,random,low,487.854700011667,492.467000003671,5,5,1
sub124,learning,L12,regular,high,516.705750000256,521.776007501608,38,38,1
sub124,learning,L13,random,high,511.311475005641,501.981417858111,19,19,1
sub124,learning,L13,random,low,530.824600005872,525.844571431143,9,9,1
sub124,learning,L13,regular,high,495.201999990968,505.216979486674,38,38,1
sub124,learning,L14,random,high,535.417300008703,522.245864445156,21,21,1
sub124,learning,L14,random,low,535.708949995751,535.392766666822,7,7,1
sub124,learning,L14,regular,high,501.176999991003,515.821546554944,37,37,1
sub124,learning,L15,random,high,511.814650002634,527.360193750155,18,18,1
sub124,learning,L15,random,low,530.196250001609,545.179650001956,4,4,1
sub124,learning,L15,regular,high,506.320100001176,512.51364222068,34,34,1
sub124,learning,L16,random,high,515.408899998874,527.761685294322,22,22,1
sub124,learning,L16,random,low,556.846350002161,561.980530004075,6,6,1
sub124,learning,L16,regular,high,480.343599992921,494.252957778533,35,35,1
sub124,learning,L17,random,high,536.413699999685,543.777249998718,21,21,1
sub124,learning,L17,random,low,552.115049998974,527.794411114883,13,13,1
sub124,learning,L17,regular,high,514.390225001989,523.259855207243,38,38,1
sub124,learning,L18,random,high,526.937200003886,537.623845553592,25,25,1
